year,district,region,season,crop,area_hectares,rainfall_mm,temperature_c,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,fertilizer_kg_ha,yield_tonnes_ha,production_tonnes
2006,Yavatmal,Vidarbha,Kharif,Gram,157.42,1002.77,27.02,65.29,7.28,55.75,30.72,16.44,50.0,0.33,51.88
2025,Solapur,Western Maharashtra,Rabi,Cotton,3281.22,433.97,29.94,36.62,7.49,91.56,23.2,45.14,50.0,1.01,3312.96
2014,Gadchiroli,Vidarbha,Rabi,Jowar,632.95,1563.97,23.9,65.59,6.94,73.53,33.08,16.69,50.0,0.613,388.2
2009,Washim,Vidarbha,Kharif,Sugarcane,373.95,673.31,28.31,50.58,7.56,186.7,66.27,28.09,56.01,35.708,13352.99
2011,Nandurbar,Khandesh,Kharif,Onion,922.5,937.68,24.86,77.3,7.25,77.52,48.66,12.85,50.0,12.127,11186.77
2019,Washim,Vidarbha,Kharif,Maize,927.73,912.1,26.83,68.94,7.38,101.13,27.27,23.25,50.0,2.01,1864.75
2016,Ratnagiri,Konkan,Kharif,Sugarcane,1206.97,4152.97,26.88,76.97,5.26,194.37,55.14,21.46,50.0,8.201,9898.46
2021,Satara,Western Maharashtra,Rabi,Rice,139.48,799.96,31.64,71.68,6.86,131.55,73.52,22.8,50.0,2.814,392.52
2007,Palghar,Konkan,Rabi,Bajra,344.18,1574.12,27.64,59.9,6.62,83.33,13.23,26.49,50.0,0.739,254.52
2000,Buldhana,Vidarbha,Kharif,Sugarcane,1196.05,655.66,27.2,53.76,6.64,209.23,78.46,38.26,50.0,59.134,70727.83
2005,Gadchiroli,Vidarbha,Kharif,Sugarcane,315.56,1377.65,28.03,60.0,6.11,151.91,66.62,13.19,57.74,56.978,17980.16
2010,Kolhapur,Western Maharashtra,Kharif,Gram,83.37,2181.85,23.37,64.85,6.49,30.76,14.66,10.0,50.0,0.447,37.23
2007,Akola,Vidarbha,Kharif,Soybean,1193.2,745.07,24.28,47.03,6.88,58.96,48.35,25.62,50.0,1.453,1733.91
2025,Dhule,Khandesh,Kharif,Wheat,485.02,725.3,34.5,83.04,7.17,43.74,41.72,29.93,50.0,0.2,97.0
2025,Osmanabad,Marathwada,Kharif,Wheat,75.61,755.98,24.51,67.74,7.27,81.99,47.75,29.03,50.0,1.724,130.34
2014,Nagpur,Vidarbha,Rabi,Maize,1098.45,1351.76,29.14,64.64,7.02,100.53,24.43,32.61,50.0,1.329,1459.71
2011,Ratnagiri,Konkan,Rabi,Bajra,275.47,2579.86,24.65,64.01,5.49,48.97,10.68,10.0,50.0,0.2,55.09
2010,Ahmednagar,Western Maharashtra,Kharif,Rice,931.2,462.33,25.31,61.87,6.82,106.79,72.79,21.52,50.0,2.087,1943.37
2011,Thane,Konkan,Rabi,Jowar,522.93,2486.2,25.16,64.25,6.95,69.18,41.39,31.7,50.0,0.687,359.08
2018,Buldhana,Vidarbha,Kharif,Rice,557.02,726.81,26.62,61.0,7.12,135.98,64.44,12.29,61.48,2.552,1421.7
2013,Raigad,Konkan,Rabi,Jowar,302.25,1814.65,26.34,67.27,5.56,71.82,29.04,41.98,50.0,0.307,92.69
2014,Raigad,Konkan,Kharif,Onion,397.22,1846.15,25.1,61.97,7.0,77.32,58.57,20.9,50.0,9.004,3576.34
2008,Nagpur,Vidarbha,Kharif,Cotton,538.11,773.36,22.48,65.09,7.6,81.12,29.92,12.26,58.14,0.575,309.52
2001,Jalgaon,Khandesh,Rabi,Jowar,1400.99,563.43,26.6,53.83,7.09,72.52,33.42,23.01,50.0,1.64,2297.72
2020,Amravati,Vidarbha,Kharif,Cotton,780.05,720.51,30.68,64.38,7.28,104.17,49.13,25.1,50.0,1.482,1155.86
2019,Mumbai Suburban,Konkan,Rabi,Sugarcane,2331.76,2418.04,25.25,43.64,7.18,170.5,48.31,40.57,61.63,39.946,93143.92
2012,Pune,Western Maharashtra,Kharif,Soybean,1266.5,746.34,25.27,70.18,6.97,64.97,52.33,36.05,50.0,1.937,2453.83
2016,Solapur,Western Maharashtra,Kharif,Wheat,888.34,634.83,26.97,68.73,7.09,72.71,50.28,12.03,50.0,1.532,1361.27
2018,Palghar,Konkan,Kharif,Onion,1800.78,2202.04,28.1,63.53,6.92,69.22,44.7,19.39,50.0,5.661,10194.39
2025,Washim,Vidarbha,Rabi,Sugarcane,454.99,673.48,23.15,54.47,7.18,172.17,49.14,52.22,77.28,36.706,16700.97
2016,Hingoli,Marathwada,Rabi,Jowar,307.67,751.17,27.54,61.07,7.12,55.54,31.04,10.0,50.0,1.377,423.82
2008,Nashik,Western Maharashtra,Kharif,Gram,960.82,580.75,29.61,55.55,6.13,29.38,26.33,17.16,50.0,0.272,261.56
2023,Nagpur,Vidarbha,Kharif,Gram,423.95,1208.2,27.65,54.14,6.97,52.16,15.51,39.61,50.0,0.232,98.4
2021,Aurangabad,Marathwada,Kharif,Gram,253.13,391.68,25.33,54.59,6.85,34.27,16.9,15.62,50.0,0.945,239.23
2015,Raigad,Konkan,Rabi,Gram,480.02,2948.99,24.87,48.13,6.7,62.31,33.98,40.67,50.0,0.593,284.55
2013,Buldhana,Vidarbha,Kharif,Maize,291.05,922.47,27.93,69.1,6.53,99.56,42.49,15.12,50.0,2.011,585.44
2025,Amravati,Vidarbha,Rabi,Maize,2103.8,589.86,22.97,62.23,6.96,70.44,35.06,25.23,50.0,2.654,5582.62
2013,Osmanabad,Marathwada,Kharif,Wheat,204.19,426.4,19.45,44.69,6.93,51.81,46.75,28.56,50.0,2.187,446.54
2006,Jalna,Marathwada,Kharif,Sugarcane,1549.47,560.16,29.83,59.16,6.92,179.91,47.15,39.36,61.99,58.939,91324.83
2006,Amravati,Vidarbha,Rabi,Maize,506.95,957.78,26.68,55.41,6.77,81.06,38.07,14.64,50.0,2.345,1188.59
2015,Aurangabad,Marathwada,Rabi,Onion,1513.45,630.04,27.47,59.05,7.02,77.22,35.69,11.45,50.0,14.237,21547.6
2013,Palghar,Konkan,Kharif,Bajra,1698.84,1894.94,31.52,59.35,6.47,46.33,25.57,10.0,50.0,0.426,724.45
2008,Parbhani,Marathwada,Kharif,Bajra,360.82,399.29,26.99,47.37,7.33,66.43,11.32,11.34,50.0,0.94,339.2
2016,Gondia,Vidarbha,Kharif,Gram,1680.75,1311.43,24.98,66.29,6.23,40.73,28.08,10.0,50.0,0.378,634.67
2010,Thane,Konkan,Kharif,Wheat,344.0,2957.9,28.82,60.87,6.8,72.43,54.57,32.85,50.0,0.479,164.9
2022,Bhandara,Vidarbha,Kharif,Maize,1489.36,1002.09,30.56,52.75,6.87,84.17,43.08,34.86,50.0,1.194,1778.47
2018,Amravati,Vidarbha,Rabi,Jowar,624.49,590.31,26.76,46.07,7.17,77.03,28.71,10.0,50.0,1.447,903.69
2013,Pune,Western Maharashtra,Kharif,Sugarcane,979.75,876.28,25.27,56.67,6.73,184.34,47.1,52.94,61.96,69.391,67985.18
2000,Akola,Vidarbha,Kharif,Bajra,771.37,716.73,31.3,57.76,6.54,48.01,29.9,29.29,50.0,0.927,715.42
2018,Nashik,Western Maharashtra,Kharif,Wheat,2773.71,717.44,22.96,64.54,6.47,81.92,62.13,56.18,59.64,2.641,7326.17
2011,Osmanabad,Marathwada,Kharif,Maize,1622.66,722.03,26.52,60.86,7.09,90.67,31.64,34.99,50.0,2.531,4107.28
2005,Latur,Marathwada,Kharif,Maize,655.17,723.85,27.95,51.73,7.14,91.56,28.15,20.49,50.0,2.377,1557.66
2020,Chandrapur,Vidarbha,Kharif,Jowar,578.23,1318.92,32.16,46.08,7.55,75.08,24.95,30.45,50.0,0.329,190.23
2006,Jalgaon,Khandesh,Kharif,Soybean,554.43,922.58,27.27,59.24,7.17,65.0,18.32,10.0,50.0,1.279,709.21
2009,Pune,Western Maharashtra,Rabi,Jowar,371.37,614.02,19.1,57.04,6.08,56.88,31.54,20.06,50.0,0.359,133.24
2008,Parbhani,Marathwada,Rabi,Gram,685.59,837.34,26.37,75.05,6.49,43.49,30.22,17.09,50.0,0.517,354.7
2015,Beed,Marathwada,Rabi,Soybean,1488.17,753.3,25.42,60.67,7.01,51.89,26.71,29.34,50.0,1.56,2321.19
2017,Bhandara,Vidarbha,Rabi,Bajra,253.21,992.8,25.93,52.86,6.23,54.88,29.64,40.85,50.0,0.615,155.71
2016,Ahmednagar,Western Maharashtra,Rabi,Wheat,392.46,654.16,28.27,54.98,6.54,77.45,50.95,29.61,50.0,1.252,491.52
2025,Jalgaon,Khandesh,Kharif,Sugarcane,667.61,469.08,24.26,50.45,7.74,210.81,50.81,33.26,57.52,19.765,13195.3
2006,Nandurbar,Khandesh,Kharif,Bajra,969.6,670.77,26.9,62.83,6.76,42.6,25.98,17.12,50.0,1.36,1318.64
2005,Hingoli,Marathwada,Rabi,Onion,1246.09,502.62,26.91,58.53,6.33,91.62,49.55,25.22,50.0,15.42,19214.51
2011,Chandrapur,Vidarbha,Kharif,Sugarcane,365.07,1183.46,29.23,56.95,6.29,180.72,52.32,28.03,50.0,67.117,24502.13
2012,Kolhapur,Western Maharashtra,Kharif,Rice,1339.67,1376.79,26.26,50.55,5.83,110.18,51.25,19.06,64.04,2.064,2764.95
2019,Mumbai Suburban,Konkan,Kharif,Onion,579.02,2863.72,29.1,75.46,6.34,85.11,56.14,18.72,50.0,5.267,3049.61
2001,Ratnagiri,Konkan,Kharif,Jowar,1822.17,3223.04,27.56,69.52,6.39,46.29,26.74,34.07,50.0,0.662,1205.63
2000,Gondia,Vidarbha,Kharif,Bajra,592.95,1297.05,21.24,70.93,6.71,62.84,22.75,20.27,50.0,0.228,135.2
2022,Hingoli,Marathwada,Rabi,Wheat,669.35,873.72,27.59,59.6,6.85,55.55,51.08,16.37,50.0,0.845,565.48
2016,Palghar,Konkan,Rabi,Sugarcane,357.97,2315.07,26.45,54.41,6.41,157.11,48.39,37.3,50.0,48.265,17277.57
2016,Gondia,Vidarbha,Kharif,Soybean,5568.99,1666.33,25.44,57.31,6.08,66.84,36.54,31.25,50.0,0.612,3408.19
2002,Amravati,Vidarbha,Kharif,Sugarcane,884.34,752.6,22.95,64.38,6.6,184.9,59.71,29.09,53.25,40.016,35387.24
2009,Jalgaon,Khandesh,Kharif,Gram,2835.22,467.51,27.62,55.07,6.98,22.02,36.35,10.0,50.0,0.572,1622.66
2017,Kolhapur,Western Maharashtra,Kharif,Gram,424.52,2194.85,26.3,66.2,6.66,54.99,25.75,35.36,50.0,0.406,172.52
2012,Mumbai Suburban,Konkan,Rabi,Bajra,627.84,1406.88,27.97,42.7,7.23,61.08,39.02,19.52,50.0,0.561,352.01
2001,Nagpur,Vidarbha,Rabi,Sugarcane,581.18,1118.54,26.14,52.91,6.86,180.95,55.13,29.15,50.0,72.111,41909.66
2000,Gondia,Vidarbha,Rabi,Cotton,1376.74,929.5,25.17,65.74,6.69,102.95,45.7,27.77,50.0,1.859,2559.03
2001,Hingoli,Marathwada,Rabi,Jowar,1138.58,388.52,26.78,51.25,7.15,47.18,35.22,24.33,50.0,1.202,1368.94
2007,Solapur,Western Maharashtra,Kharif,Rice,1671.75,699.0,30.96,68.41,7.01,126.1,72.47,40.33,50.0,2.54,4245.43
2024,Parbhani,Marathwada,Rabi,Sugarcane,782.73,1003.28,24.02,58.4,6.81,185.69,45.13,43.11,65.14,53.902,42191.18
2007,Latur,Marathwada,Kharif,Sugarcane,602.08,711.19,24.64,67.13,6.74,166.94,60.0,34.63,55.73,49.326,29698.32
2005,Sindhudurg,Konkan,Kharif,Soybean,751.35,3080.76,26.03,74.41,6.76,77.51,30.17,31.95,50.0,0.938,704.91
2012,Akola,Vidarbha,Kharif,Cotton,625.3,511.48,25.94,53.27,7.05,64.06,54.26,25.79,50.0,1.884,1178.17
2009,Beed,Marathwada,Rabi,Jowar,489.21,673.83,30.02,79.77,7.87,88.77,39.78,10.0,50.0,0.508,248.67
2018,Aurangabad,Marathwada,Rabi,Cotton,2096.26,654.09,27.58,59.69,7.56,118.36,33.82,48.25,50.0,1.248,2616.08
2020,Kolhapur,Western Maharashtra,Rabi,Maize,1359.28,1876.78,26.35,74.71,6.21,80.76,38.04,10.0,50.0,1.427,1940.2
2024,Wardha,Vidarbha,Rabi,Soybean,899.91,1081.01,29.5,54.6,6.85,61.59,23.06,12.87,50.0,1.164,1047.26
2005,Thane,Konkan,Kharif,Jowar,1192.77,2776.85,27.61,71.1,6.54,74.68,39.9,27.46,50.0,0.812,968.89
2001,Akola,Vidarbha,Kharif,Jowar,418.18,643.07,32.03,82.49,6.86,80.15,32.44,20.89,50.0,1.05,439.26
2005,Buldhana,Vidarbha,Rabi,Wheat,4032.92,779.05,24.13,64.43,7.16,95.35,46.41,20.88,50.0,1.717,6924.85
2001,Satara,Western Maharashtra,Rabi,Onion,1909.74,1151.36,23.06,69.17,6.72,90.96,51.96,22.59,50.0,11.11,21217.86
2023,Aurangabad,Marathwada,Kharif,Sugarcane,3583.61,688.46,25.02,65.71,6.84,186.67,56.6,14.85,59.84,60.656,217368.94
2022,Washim,Vidarbha,Kharif,Cotton,1214.53,771.73,30.69,62.08,6.94,82.42,33.55,34.12,58.14,1.716,2084.62
2002,Hingoli,Marathwada,Rabi,Gram,674.76,836.07,30.18,80.63,6.77,51.03,27.22,10.0,50.0,0.232,156.84
2019,Sindhudurg,Konkan,Kharif,Jowar,311.51,3873.88,26.45,67.59,6.57,59.77,18.33,10.0,50.0,0.757,235.86
2001,Yavatmal,Vidarbha,Kharif,Wheat,2871.12,989.66,24.78,62.93,7.42,63.24,49.0,26.37,50.0,0.849,2438.67
2004,Bhandara,Vidarbha,Kharif,Onion,664.94,764.63,27.48,63.66,6.3,87.45,50.62,27.93,50.0,13.579,9029.16
2012,Akola,Vidarbha,Rabi,Jowar,955.22,632.42,25.41,65.81,6.67,50.95,35.29,10.0,50.0,1.651,1577.23
2024,Solapur,Western Maharashtra,Kharif,Jowar,4778.33,598.42,30.53,67.82,7.76,44.57,38.02,18.03,50.0,0.59,2821.0
2013,Jalgaon,Khandesh,Kharif,Sugarcane,2086.45,770.67,28.23,70.81,7.38,192.6,61.48,22.23,66.37,50.571,105514.1
2005,Chandrapur,Vidarbha,Rabi,Maize,573.66,928.14,29.07,61.91,6.65,89.81,20.36,27.11,50.0,1.964,1126.44
2008,Amravati,Vidarbha,Rabi,Maize,2437.95,820.64,24.94,69.62,7.17,82.49,34.67,18.46,50.0,2.359,5750.31
2022,Nagpur,Vidarbha,Rabi,Sugarcane,446.43,1138.82,29.25,72.05,6.83,214.05,55.86,17.97,68.97,73.919,32999.4
2012,Satara,Western Maharashtra,Rabi,Wheat,978.76,1018.36,31.35,49.31,6.5,77.68,35.43,25.98,50.0,0.251,245.31
2005,Nanded,Marathwada,Kharif,Cotton,1073.43,1257.21,26.76,80.06,6.19,93.53,47.71,34.58,50.0,1.283,1376.72
2015,Amravati,Vidarbha,Kharif,Soybean,427.41,965.11,25.12,66.7,7.08,63.66,29.93,10.0,50.0,1.435,613.3
2006,Sangli,Western Maharashtra,Kharif,Cotton,1863.68,642.45,24.66,69.27,6.68,106.06,33.43,30.41,53.16,1.211,2257.37
2017,Jalna,Marathwada,Kharif,Sugarcane,864.27,853.21,28.52,64.18,7.25,163.26,44.99,48.41,68.91,49.093,42429.34
2016,Dhule,Khandesh,Kharif,Soybean,2816.09,387.26,28.31,68.31,7.03,73.18,47.46,10.26,50.0,1.1,3096.84
2015,Akola,Vidarbha,Rabi,Jowar,2067.13,918.33,30.42,69.58,7.01,35.15,24.88,10.0,50.0,0.982,2029.35
2000,Wardha,Vidarbha,Kharif,Wheat,1766.76,799.63,29.87,47.72,7.37,69.17,22.31,30.86,50.0,0.422,746.3
2020,Satara,Western Maharashtra,Kharif,Rice,181.92,581.83,28.2,48.16,7.34,152.44,51.16,25.7,50.0,1.971,358.61
2011,Osmanabad,Marathwada,Kharif,Jowar,503.95,630.55,27.73,62.04,6.73,55.92,36.88,16.83,50.0,1.645,828.98
2014,Osmanabad,Marathwada,Rabi,Rice,3294.59,577.92,30.41,50.31,6.99,128.34,73.96,24.19,52.01,2.326,7662.12
2012,Nashik,Western Maharashtra,Kharif,Wheat,1633.18,851.44,24.08,67.66,7.13,72.72,39.75,24.5,50.0,1.694,2766.8
2005,Ahmednagar,Western Maharashtra,Kharif,Cotton,943.13,581.0,24.73,59.48,6.44,73.07,44.83,17.98,50.0,1.629,1536.23
2022,Aurangabad,Marathwada,Kharif,Soybean,743.46,706.02,25.19,70.56,7.08,73.11,35.98,23.02,50.0,1.686,1253.65
2001,Pune,Western Maharashtra,Rabi,Jowar,494.25,664.12,23.92,64.18,6.87,54.8,36.65,17.29,50.0,1.665,822.76
2014,Dhule,Khandesh,Kharif,Jowar,391.69,673.15,26.01,78.68,7.2,49.29,25.57,10.0,50.0,1.394,546.05
2019,Pune,Western Maharashtra,Rabi,Soybean,326.46,954.03,25.82,74.54,7.28,64.98,32.81,24.74,50.0,1.383,451.45
2016,Dhule,Khandesh,Kharif,Maize,762.03,495.4,27.03,60.16,7.58,93.01,12.17,18.29,50.0,1.53,1165.82
2012,Sangli,Western Maharashtra,Kharif,Soybean,1296.23,851.62,29.16,73.89,6.61,62.3,41.91,10.0,50.0,1.486,1925.71
2001,Parbhani,Marathwada,Rabi,Maize,517.56,859.23,28.51,67.7,6.72,84.69,34.96,10.0,50.0,2.408,1246.13
2024,Osmanabad,Marathwada,Kharif,Cotton,772.36,721.02,25.39,63.37,7.1,110.83,29.17,17.71,50.0,1.613,1245.53
2012,Sangli,Western Maharashtra,Kharif,Soybean,452.2,556.2,28.74,54.39,7.02,59.94,42.36,44.96,50.0,1.366,617.81
2025,Gondia,Vidarbha,Kharif,Jowar,1521.45,1380.99,21.86,57.63,6.16,66.62,16.33,24.96,50.0,0.458,696.15
2006,Mumbai Suburban,Konkan,Kharif,Gram,552.49,1489.61,26.88,53.44,6.78,34.36,32.95,10.0,50.0,0.342,188.8
2006,Raigad,Konkan,Kharif,Wheat,325.07,2346.63,23.09,59.93,6.56,62.47,34.74,32.35,50.0,1.172,380.88
2019,Sindhudurg,Konkan,Kharif,Sugarcane,2395.58,2099.54,23.75,69.82,6.28,171.04,68.6,49.05,66.61,43.441,104065.68
2020,Gondia,Vidarbha,Kharif,Gram,1082.98,1105.99,28.13,65.04,5.89,22.49,21.28,10.0,50.0,0.2,216.6
2000,Nanded,Marathwada,Kharif,Onion,3078.02,666.44,31.48,70.94,6.44,85.01,39.1,10.0,50.0,5.885,18112.91
2000,Gadchiroli,Vidarbha,Kharif,Rice,5823.9,1798.66,27.1,80.66,6.69,137.41,45.79,14.21,65.41,3.467,20189.6
2005,Wardha,Vidarbha,Kharif,Onion,991.07,982.43,24.28,65.59,6.76,86.46,25.53,10.0,50.0,15.377,15239.61
2000,Washim,Vidarbha,Rabi,Wheat,1267.24,637.84,21.68,56.22,7.32,48.95,43.42,23.67,50.0,1.672,2118.9
2018,Bhandara,Vidarbha,Rabi,Rice,1993.93,1155.96,25.19,66.97,7.25,94.62,37.92,48.58,50.0,2.351,4687.94
2000,Nagpur,Vidarbha,Kharif,Maize,1203.45,1008.59,25.11,56.38,6.88,103.71,41.32,29.24,50.0,3.38,4067.52
2014,Palghar,Konkan,Kharif,Cotton,147.41,1523.52,24.82,62.97,6.41,98.07,28.35,25.5,50.0,0.901,132.78
2015,Parbhani,Marathwada,Kharif,Jowar,681.36,1228.1,25.98,67.64,6.15,41.2,43.93,27.95,50.0,0.758,516.27
2017,Chandrapur,Vidarbha,Rabi,Soybean,332.34,1186.2,25.98,71.81,7.38,78.31,45.27,10.0,50.0,1.034,343.78
2012,Osmanabad,Marathwada,Rabi,Soybean,1215.14,751.69,25.61,63.91,7.59,67.74,20.38,10.0,50.0,0.973,1182.36
2009,Satara,Western Maharashtra,Rabi,Wheat,1294.76,702.52,27.05,56.1,6.25,94.86,42.73,15.59,50.0,1.082,1400.48
2013,Sindhudurg,Konkan,Kharif,Bajra,1502.7,3342.42,27.42,67.27,6.24,45.11,22.56,27.41,50.0,0.503,756.18
2000,Ahmednagar,Western Maharashtra,Kharif,Wheat,289.26,409.81,24.39,63.59,7.17,72.67,48.0,36.63,50.0,2.019,583.96
2018,Pune,Western Maharashtra,Rabi,Cotton,516.06,758.39,20.83,72.62,7.22,109.08,38.96,10.0,50.0,0.577,298.03
2006,Parbhani,Marathwada,Kharif,Maize,2598.28,724.38,26.23,56.7,6.9,84.49,50.14,14.81,50.0,3.343,8686.79
2001,Satara,Western Maharashtra,Rabi,Wheat,436.6,1041.87,23.82,62.3,7.15,82.5,55.35,14.34,50.0,1.107,483.49
2015,Nanded,Marathwada,Kharif,Onion,499.06,1105.07,27.91,51.17,7.43,52.54,50.12,13.48,50.0,8.908,4445.75
2022,Buldhana,Vidarbha,Rabi,Wheat,786.64,857.67,27.47,64.39,7.03,98.16,42.86,24.53,50.0,0.881,693.2
2002,Aurangabad,Marathwada,Kharif,Onion,4941.25,510.77,24.09,49.7,6.96,93.24,18.89,22.33,50.0,17.712,87519.34
2024,Beed,Marathwada,Kharif,Onion,509.02,493.9,26.2,52.83,7.37,71.67,39.94,19.94,50.0,12.746,6488.21
2010,Yavatmal,Vidarbha,Rabi,Rice,2006.57,1156.62,25.4,67.5,7.23,124.24,46.72,51.77,50.0,2.813,5644.47
2018,Solapur,Western Maharashtra,Kharif,Soybean,1089.01,705.21,32.12,78.57,7.08,87.59,23.96,28.58,50.0,0.864,940.6
2004,Raigad,Konkan,Rabi,Cotton,703.65,2883.27,25.75,71.52,6.99,101.69,40.76,40.13,55.82,0.839,590.09
2024,Nanded,Marathwada,Kharif,Maize,357.84,733.94,29.57,75.93,7.14,82.17,38.23,14.51,50.0,2.001,716.17
2024,Palghar,Konkan,Kharif,Bajra,671.05,2992.61,26.66,63.88,6.56,54.94,21.96,21.0,50.0,0.709,475.63
2004,Amravati,Vidarbha,Rabi,Bajra,1435.47,789.66,27.39,69.31,6.87,62.32,23.57,10.0,50.0,0.851,1221.04
2007,Washim,Vidarbha,Kharif,Maize,1911.4,741.16,26.79,63.47,7.57,97.67,20.75,27.69,50.0,2.061,3940.15
2000,Jalna,Marathwada,Kharif,Cotton,1389.68,820.56,30.78,72.7,6.73,68.72,40.86,13.76,50.0,1.254,1742.71
2014,Ratnagiri,Konkan,Kharif,Rice,2173.58,1600.22,26.14,54.51,6.19,130.45,63.01,15.05,50.33,3.483,7570.91
2009,Latur,Marathwada,Kharif,Bajra,1210.53,656.74,29.65,58.16,6.94,49.42,23.7,37.67,50.0,1.016,1229.76
2003,Jalna,Marathwada,Kharif,Maize,523.6,822.49,32.38,65.19,7.15,88.36,37.39,20.46,50.0,0.82,429.16
2021,Chandrapur,Vidarbha,Kharif,Soybean,1152.74,1038.36,26.73,78.88,6.55,92.07,26.6,28.55,50.0,1.623,1870.61
2005,Ratnagiri,Konkan,Kharif,Cotton,2307.03,3030.88,24.93,50.81,6.4,86.55,31.21,55.71,50.0,0.77,1775.49
2024,Latur,Marathwada,Kharif,Sugarcane,1101.17,641.88,24.83,54.96,6.75,173.81,61.62,10.0,66.88,45.909,50553.28
2019,Buldhana,Vidarbha,Kharif,Cotton,550.29,662.31,26.55,67.29,6.92,86.94,41.91,24.25,50.0,1.833,1008.76
2014,Dhule,Khandesh,Rabi,Bajra,2099.13,672.59,28.7,78.48,7.9,78.77,37.74,15.97,50.0,0.542,1136.77
2013,Nashik,Western Maharashtra,Kharif,Cotton,273.84,814.95,21.73,51.9,7.05,74.05,38.02,25.1,50.0,0.783,214.48
2011,Nanded,Marathwada,Kharif,Onion,287.44,985.25,30.55,64.19,6.64,62.97,53.89,10.43,50.0,6.469,1859.47
2011,Nagpur,Vidarbha,Kharif,Onion,1360.46,1059.12,24.88,70.54,6.95,111.34,52.62,29.45,50.0,17.352,23606.44
2019,Yavatmal,Vidarbha,Kharif,Rice,916.58,880.22,27.7,68.44,6.92,100.64,47.5,13.93,50.0,3.377,3094.94
2003,Satara,Western Maharashtra,Kharif,Maize,1459.92,1081.3,25.05,65.54,6.42,92.22,26.05,18.84,50.0,2.79,4072.68
2004,Latur,Marathwada,Kharif,Jowar,1021.29,803.9,29.65,51.82,7.1,82.75,28.88,23.41,50.0,1.232,1257.8
2024,Wardha,Vidarbha,Kharif,Onion,739.39,685.8,27.15,50.78,7.71,70.32,38.05,29.31,50.0,7.117,5262.43
2001,Dhule,Khandesh,Kharif,Cotton,1480.91,482.61,26.78,67.1,7.62,67.91,40.54,39.6,50.0,0.998,1478.24
2001,Buldhana,Vidarbha,Kharif,Gram,1026.15,663.65,32.59,52.78,7.33,25.6,17.77,21.48,50.0,0.2,205.23
2023,Akola,Vidarbha,Kharif,Soybean,584.58,708.5,29.41,63.17,6.9,71.25,15.85,10.0,50.0,1.368,799.41
2023,Hingoli,Marathwada,Rabi,Soybean,323.97,760.34,25.86,53.96,6.4,65.08,52.43,22.05,50.0,1.796,581.92
2005,Latur,Marathwada,Kharif,Sugarcane,1434.12,545.45,24.93,52.01,6.97,171.12,63.53,51.13,53.37,48.071,68940.03
2001,Aurangabad,Marathwada,Rabi,Soybean,269.71,498.19,26.45,53.65,6.87,82.05,35.88,29.71,50.0,1.968,530.89
2022,Gondia,Vidarbha,Kharif,Soybean,748.4,1090.56,28.5,55.14,6.31,60.61,16.81,31.24,50.0,1.277,955.9
2013,Ahmednagar,Western Maharashtra,Rabi,Soybean,303.65,544.54,27.9,63.34,6.47,27.4,37.08,19.59,50.0,1.435,435.73
2005,Pune,Western Maharashtra,Rabi,Rice,1157.54,765.41,26.44,70.38,6.85,102.09,51.73,30.08,50.0,3.295,3814.35
2023,Amravati,Vidarbha,Kharif,Wheat,3697.74,467.92,27.45,54.29,6.58,89.44,42.84,10.0,50.0,1.527,5646.94
2016,Nagpur,Vidarbha,Rabi,Cotton,589.48,962.73,27.27,67.22,7.25,66.06,16.09,32.01,50.0,1.476,870.13
2018,Bhandara,Vidarbha,Rabi,Rice,632.41,949.06,25.7,51.77,5.97,130.49,44.28,27.63,50.0,2.476,1565.99
2020,Jalna,Marathwada,Kharif,Cotton,2119.38,511.68,25.71,65.69,7.52,74.5,46.12,34.33,50.0,1.133,2401.97
2009,Solapur,Western Maharashtra,Kharif,Jowar,457.45,854.34,31.18,72.3,7.27,58.76,18.06,29.96,50.0,0.622,284.63
2006,Solapur,Western Maharashtra,Kharif,Soybean,247.52,440.08,29.08,65.07,8.45,89.2,38.26,31.25,50.0,0.2,49.5
2003,Ratnagiri,Konkan,Kharif,Gram,525.93,2065.34,28.73,41.84,6.29,78.54,20.69,26.17,50.0,0.213,112.27
2025,Mumbai Suburban,Konkan,Rabi,Jowar,839.59,2517.77,30.14,62.29,6.54,71.62,40.97,23.11,50.0,0.665,558.21
2018,Nandurbar,Khandesh,Rabi,Bajra,1178.62,952.82,25.06,61.24,7.28,70.04,37.86,10.0,50.0,0.554,652.99
2006,Parbhani,Marathwada,Rabi,Rice,732.7,831.88,25.44,45.83,6.14,129.48,44.15,35.67,50.1,2.208,1617.73
2020,Jalna,Marathwada,Kharif,Soybean,593.3,300.67,30.5,53.47,7.68,67.17,41.74,14.04,50.0,0.557,330.23
2001,Thane,Konkan,Kharif,Sugarcane,849.98,1572.41,23.73,53.94,7.55,180.83,76.3,24.65,74.19,33.852,28773.27
2020,Sindhudurg,Konkan,Rabi,Gram,848.01,2775.49,27.02,70.07,6.0,74.79,17.29,27.86,50.0,0.267,226.52
2017,Ahmednagar,Western Maharashtra,Kharif,Soybean,279.32,568.42,27.65,46.52,6.86,67.9,20.85,30.07,50.0,1.46,407.74
2005,Nashik,Western Maharashtra,Kharif,Soybean,714.16,1040.15,25.06,66.24,6.68,68.72,22.9,10.0,50.0,1.552,1108.58
